,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 III H.46a,faust://document/faustedition/2_III_H.46a,2 III H.46a,Witness,,69,0,,,,,,,,378
2 III H.46b,faust://document/faustedition/2_III_H.46b,2 III H.46b,Witness,,70,0,,,1826-04-01,1826-10-11,1826-04-01,1826.0,1826,379
2 III H.48,faust://document/faustedition/2_III_H.48,2 III H.48,Witness,,71,0,,,1826-05-19,,1826-05-19,1826.0,1826,381
2 III H.50,faust://document/faustedition/2_III_H.50,2 III H.50,Witness,,72,0,,,1826-05-19,,1826-05-19,1826.0,1826,387
2 III H.60,faust://document/faustedition/2_III_H.60,2 III H.60,Witness,,73,0,,,1826-05-02,1826-06-14,1826-05-02,1826.0,1826,409
2 III H.61,faust://document/faustedition/2_III_H.61,2 III H.61,Witness,,74,3,,,1826-05-19,,1826-05-19,1826.0,1826,410
2 III H.64e,faust://document/faustedition/2_III_H.64e,2 III H.64e,Witness,,75,0,,,,,,,,418
2 III H.66,faust://document/faustedition/2_III_H.66,2 III H.66,Witness,,76,0,,,1824-10-10,,1824-10-10,1824.0,1824,420
2 III H.68,faust://document/faustedition/2_III_H.68,2 III H.68,Witness,,77,0,,,1826-05-19,,1826-05-19,1826.0,1826,423
2 III H.69,faust://document/faustedition/2_III_H.69,2 III H.69,Witness,,78,4,,,1826-05-19,,1826-05-19,1826.0,1826,424
2 III H.76,faust://document/faustedition/2_III_H.76,2 III H.76,Witness,,79,0,,,1824-04-14,,1824-04-14,1824.0,1824,434
2 III H.81,faust://document/faustedition/2_III_H.81,2 III H.81,Witness,,80,0,,,1824-04-14,,1824-04-14,1824.0,1824,440
2 III H.81a,faust://document/faustedition/2_III_H.81a,2 III H.81a,Witness,,81,5,,,1826-05-19,,1826-05-19,1826.0,1826,441
2 III H.81b*,faust://document/faustedition/2_III_H.81b_,2 III H.81b*,Witness,,82,0,,,,,,,,442
2 IV H.4,faust://document/faustedition/2_IV_H.4,2 IV H.4,Witness,,83,0,,,1832-06-06,,1832-06-06,1832.0,1832,446
2 IV H.7b,faust://document/faustedition/2_IV_H.7b,2 IV H.7b,Witness,,84,0,,,,,,,,452
2 IV H.9,faust://document/faustedition/2_IV_H.9,2 IV H.9,Witness,,85,0,,,1831-11-27,,1831-11-27,1831.0,1831,454
2 IV H.11,faust://document/faustedition/2_IV_H.11,2 IV H.11,Witness,,86,4,,,1832-06-06,,1832-06-06,1832.0,1832,456
2 IV H.12,faust://document/faustedition/2_IV_H.12,2 IV H.12,Witness,,87,0,,,1831-10-28,,1831-10-28,1831.0,1831,457
2 IV H.13b,faust://document/faustedition/2_IV_H.13b,2 IV H.13b,Witness,,88,0,,,,,,,,460
2 IV H.14,faust://document/faustedition/2_IV_H.14,2 IV H.14,Witness,,89,0,,,1832-06-06,,1832-06-06,1832.0,1832,461
